CustomerID,onehotencoder__Gender_Female,onehotencoder__Gender_Male,onehotencoder__Senior Citizen_No,onehotencoder__Senior Citizen_Yes,onehotencoder__Partner_No,onehotencoder__Partner_Yes,onehotencoder__Dependents_No,onehotencoder__Dependents_Yes,onehotencoder__Phone Service_No,onehotencoder__Phone Service_Yes,onehotencoder__Multiple Lines_No,onehotencoder__Multiple Lines_No phone service,onehotencoder__Multiple Lines_Yes,onehotencoder__Internet Service_DSL,onehotencoder__Internet Service_Fiber optic,onehotencoder__Internet Service_No,onehotencoder__Online Security_No,onehotencoder__Online Security_No internet service,onehotencoder__Online Security_Yes,onehotencoder__Online Backup_No,onehotencoder__Online Backup_No internet service,onehotencoder__Online Backup_Yes,onehotencoder__Device Protection_No,onehotencoder__Device Protection_No internet service,onehotencoder__Device Protection_Yes,onehotencoder__Tech Support_No,onehotencoder__Tech Support_No internet service,onehotencoder__Tech Support_Yes,onehotencoder__Streaming TV_No,onehotencoder__Streaming TV_No internet service,onehotencoder__Streaming TV_Yes,onehotencoder__Streaming Movies_No,onehotencoder__Streaming Movies_No internet service,onehotencoder__Streaming Movies_Yes,onehotencoder__Contract_Month-to-month,onehotencoder__Contract_One year,onehotencoder__Contract_Two year,onehotencoder__Paperless Billing_No,onehotencoder__Paperless Billing_Yes,onehotencoder__Payment Method_Bank transfer (automatic),onehotencoder__Payment Method_Credit card (automatic),onehotencoder__Payment Method_Electronic check,onehotencoder__Payment Method_Mailed check,remainder__Tenure Months,remainder__Monthly Charges,remainder__Total Charges,remainder__CLTV
7176-WRTNX,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,70,114.95,7711.25,4511
2234-EOFPT,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,72,79.35,5753.25,4278
6813-GZQCG,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,45,24.65,1171.3,2194
7073-QETQY,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,66,20.35,1359.5,4845
2809-ZMYOQ,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,32,101.35,3334.9,4341
0655-RBDUG,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7,98.05,713.0,2561
0060-FUALY,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,59,94.75,5597.65,5238
0929-HYQEW,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,50.15,160.85,2085
7493-TPUWZ,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,79.15,79.15,4243
7957-RYHQD,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40,79.2,3233.85,3207
